TRADEDATE,OPEN,CLOSE,HIGH,LOW,VOLUME
2024-01-03,274.97,277,277,271.97,28
2024-01-03,271.9,274.56,274.7,271,20586020
2024-01-04,276.99,275.49,276.99,270,19
2024-01-04,274.67,274.12,275.48,273.7,11729380
2024-01-05,274.69,271.95,274.69,271.95,10
2024-01-05,274.3,273.62,274.69,272.8,9635550
2024-01-08,275.85,274.17,276,274.17,18
2024-01-08,273.6,276.76,277,273.53,21489440
2024-01-09,273.02,274.6,278.99,273.02,150
2024-01-09,276.97,275.28,278,274.71,20316030
2024-01-10,275.5,274.5,276.99,273.95,122
2024-01-10,275.3,274.49,276.16,273.64,20660410
2024-01-11,274.34,274.13,279.93,274.13,58
2024-01-11,274.78,275.71,275.97,274.01,19526030
2024-01-12,277.5,274.64,277.5,274.55,64
2024-01-12,276,275.84,276.96,274.77,17702040
2024-01-15,281.31,275.01,281.31,272.91,96
2024-01-15,276.45,275.96,277.73,275.21,21397690
2024-01-16,272.97,275.99,280,272.96,72
2024-01-16,276.22,276.01,276.45,274.1,16110240
2024-01-17,276.05,277.04,279.95,275.36,96
2024-01-17,276.02,278,279.17,275.75,34256680
2024-01-18,275.8,278.46,279.99,275.8,99
2024-01-18,278.24,277.07,278.87,276.76,17701680
2024-01-19,277.64,276.49,277.64,273.46,76
2024-01-19,277.39,274.86,277.47,273.55,28052580
2024-01-22,280,275.5,284.83,269.92,48
2024-01-22,274.86,274.93,275.9,273.85,15086860
2024-01-23,283.61,276.31,283.62,275.01,39
2024-01-23,274.7,275.9,277.26,274.31,20092540
2024-01-24,276.31,275,276.31,272.12,99
2024-01-24,275.9,273.77,276.44,273.7,20203730
2024-01-25,274.97,274.07,274.99,271.88,55
2024-01-25,274,272.81,274.18,271.55,24436130
2024-01-26,274.52,274.5,274.52,271.19,68
2024-01-26,273.1,272.65,273.72,272.21,11131250
2024-01-29,272.3,274.97,275,272.3,72
2024-01-29,273.02,274.05,274.95,272.7,17095190
2024-01-30,274.98,274.5,276.89,272.5,114
2024-01-30,274.01,275.67,277.25,273.97,27236150
2024-01-31,277,276.61,277.99,274,80
2024-01-31,275.84,276,276.45,275,12543740
2024-02-01,276.97,275.5,277.69,274.89,67
2024-02-01,276.03,276.86,277.75,275.93,15976730
2024-02-02,278.99,277.91,278.99,274.29,69
2024-02-02,277,276.74,277.3,276,12718190
2024-02-05,283,278.99,283,276.95,88
2024-02-05,277,277.84,278.57,276.9,16056990
2024-02-06,284,277.5,284.59,276.96,65
2024-02-06,278,278.67,278.99,277.3,15960270
2024-02-07,277.15,284.8,284.8,277.15,67
2024-02-07,278.82,284.41,284.5,278.81,45372390
2024-02-08,285,285.1,286,281.21,145
2024-02-08,284.52,282.17,286.24,281.25,44132450
2024-02-09,283.5,283.5,284.99,278.5,93
2024-02-09,282.17,283.5,284,281.5,24378920
2024-02-12,282.99,287.63,287.63,282.98,116
2024-02-12,283.66,287.28,287.84,283.5,33890070
2024-02-13,289.49,288,289.49,285.05,122
2024-02-13,287.52,287.07,289,285.4,33307500
2024-02-14,291.11,288.03,291.11,286.04,74
2024-02-14,287.07,289.06,290.6,286.84,35874260
2024-02-15,289.88,290.97,290.97,287.68,54
2024-02-15,289.3,290.24,290.45,287.63,25912290
2024-02-16,291.11,290.42,292,286.51,114
2024-02-16,290.47,288.33,292.3,286.25,53446950
2024-02-19,291.99,290,291.99,286.77,100
2024-02-19,288.51,288.93,289.98,287.07,24327480
2024-02-20,287.61,285.68,288.39,285.66,94
2024-02-20,289.2,283.9,289.28,283.29,44972610
2024-02-21,284.73,281.14,285.6,279.57,108
2024-02-21,283.9,282,285.28,280.2,48915360
2024-02-22,282.51,284.49,284.49,282.03,80
2024-02-22,282.1,284.77,285.05,282.1,25175120
2024-02-26,282,289.25,290.96,282,127
2024-02-26,288.52,291.25,291.3,287,42969530
2024-02-27,291.1,293.09,293.1,289.66,126
2024-02-27,291.35,292.52,293,290.55,32504830
2024-02-28,293.56,289.75,294.59,289.75,85
2024-02-28,292.6,291.75,293.95,289.75,49330680
2024-02-29,294.19,292.21,294.19,291.11,75
2024-02-29,292.31,292.19,293.2,291.3,22436940
2024-03-01,294.49,296.58,296.58,290.43,138
2024-03-01,292.2,295.38,295.88,292.2,27129280
2024-03-04,296.61,298.14,299.98,293.46,97
2024-03-04,295.87,299.17,299.5,295.8,40609910
2024-03-05,299.85,299.99,300,296.24,141
2024-03-05,299.33,298.4,300.41,297.57,41756340
2024-03-06,299.98,297.58,299.98,295.6,85
2024-03-06,298.2,297.71,299.33,296.82,17756170
2024-03-07,298.49,299.5,299.5,297.51,66
2024-03-07,297.72,300.4,300.58,297.24,21982790
2024-03-11,300,301.72,305.95,298.64,139
2024-03-11,301,299.79,302.95,298.5,41781940
2024-03-12,297.26,300.37,300.37,297.26,66
2024-03-12,299.6,300.9,301.07,297.34,28743980
2024-03-13,299.29,299.22,301.45,298.23,97
2024-03-13,301.2,298.85,301.49,298.7,24012100
2024-03-14,295,294.94,302.05,294.94,51
2024-03-14,298.5,295.83,298.7,295.14,42205930
